"Forcing multiplier:"	1.39475673


"year"	"real temp"	"model temp"
1770	0.00	0.00
1771	0.00	0.05
1772	0.00	0.07
1773	0.00	0.08
1774	0.00	0.08
1775	0.00	0.08
1776	0.00	0.09
1777	0.00	0.09
1778	0.00	0.10
1779	0.00	0.12
1780	0.00	0.12
1781	0.00	0.12
1782	0.00	0.12
1783	0.00	0.11
1784	0.00	0.09
1785	0.00	0.08
1786	0.00	0.09
1787	0.00	0.12
1788	0.00	0.13
1789	0.00	0.13
1790	0.00	0.11
1791	0.00	0.08
1792	0.00	0.08
1793	0.00	0.11
1794	0.00	0.12
1795	0.00	0.12
1796	0.00	0.11
1797	0.00	0.11
1798	0.00	0.12
1799	0.00	0.12
1800	0.00	0.12
1801	0.00	0.13
1802	0.00	0.14
1803	0.00	0.14
1804	0.00	0.14
1805	0.00	0.14
1806	0.00	0.14
1807	0.00	0.14
1808	0.00	0.11
1809	0.00	-0.05
1810	0.00	-0.29
1811	0.00	-0.37
1812	0.00	-0.25
1813	0.00	-0.13
1814	0.00	-0.12
1815	0.00	-0.30
1816	0.00	-0.60
1817	0.00	-0.68
1818	0.00	-0.48
1819	0.00	-0.27
1820	0.00	-0.16
1821	0.00	-0.11
1822	0.00	-0.09
1823	0.00	-0.07
1824	0.00	-0.05
1825	0.00	-0.03
1826	0.00	-0.01
1827	0.00	0.00
1828	0.00	0.02
1829	0.00	0.03
1830	0.00	0.02
1831	0.00	-0.03
1832	0.00	-0.10
1833	0.00	-0.12
1834	0.00	-0.09
1835	0.00	-0.15
1836	0.00	-0.26
1837	0.00	-0.23
1838	0.00	-0.12
1839	0.00	-0.04
1840	0.00	0.00
1841	0.00	0.01
1842	0.00	0.01
1843	0.00	0.02
1844	0.00	0.03
1845	0.00	0.03
1846	0.00	0.05
1847	0.00	0.07
1848	0.00	0.09
1849	0.00	0.10
1850	0.00	0.10
1851	0.00	0.10
1852	0.00	0.11
1853	0.00	0.11
1854	0.00	0.11
1855	0.00	0.11
1856	0.00	0.06
1857	0.00	-0.04
1858	0.00	-0.08
1859	0.00	-0.02
1860	0.00	0.05
1861	0.00	0.08
1862	0.00	0.08
1863	0.00	0.06
1864	0.00	0.07
1865	0.00	0.09
1866	0.00	0.10
1867	0.00	0.10
1868	0.00	0.11
1869	0.00	0.12
1870	0.00	0.13
1871	0.00	0.14
1872	0.00	0.14
1873	0.00	0.13
1874	0.00	0.12
1875	0.00	0.12
1876	0.00	0.11
1877	0.00	0.10
1878	0.00	0.10
1879	0.00	0.11
1880	-0.01	0.12
1881	0.06	0.12
1882	0.01	0.12
1883	-0.01	0.05
1884	-0.05	-0.15
1885	-0.05	-0.28
1886	-0.02	-0.20
1887	-0.09	-0.13
1888	0.00	-0.11
1889	0.10	-0.10
1890	-0.12	-0.11
1891	-0.01	-0.12
1892	-0.05	-0.10
1893	-0.06	-0.05
1894	-0.06	-0.01
1895	0.01	0.02
1896	0.12	0.02
1897	0.15	-0.01
1898	0.01	-0.02
1899	0.11	0.00
1900	0.19	0.02
1901	0.12	0.03
1902	0.02	0.01
1903	-0.04	-0.08
1904	-0.08	-0.14
1905	0.03	-0.09
1906	0.08	-0.02
1907	-0.12	0.00
1908	-0.06	0.01
1909	-0.08	0.02
1910	-0.07	0.03
1911	-0.07	0.04
1912	-0.05	0.03
1913	-0.03	-0.01
1914	0.12	-0.01
1915	0.17	0.03
1916	-0.04	0.07
1917	-0.13	0.09
1918	-0.07	0.11
1919	0.07	0.12
1920	0.07	0.12
1921	0.12	0.10
1922	0.01	0.11
1923	0.05	0.12
1924	0.04	0.13
1925	0.10	0.14
1926	0.25	0.15
1927	0.12	0.16
1928	0.14	0.17
1929	0.01	0.16
1930	0.18	0.16
1931	0.24	0.17
1932	0.19	0.17
1933	0.08	0.17
1934	0.20	0.18
1935	0.15	0.19
1936	0.22	0.21
1937	0.33	0.23
1938	0.37	0.24
1939	0.28	0.24
1940	0.31	0.25
1941	0.36	0.26
1942	0.29	0.26
1943	0.36	0.26
1944	0.46	0.26
1945	0.33	0.27
1946	0.22	0.29
1947	0.27	0.30
1948	0.22	0.31
1949	0.20	0.31
1950	0.11	0.31
1951	0.23	0.31
1952	0.30	0.30
1953	0.37	0.30
1954	0.17	0.29
1955	0.17	0.30
1956	0.10	0.31
1957	0.34	0.33
1958	0.35	0.35
1959	0.32	0.36
1960	0.26	0.36
1961	0.34	0.34
1962	0.30	0.31
1963	0.35	0.26
1964	0.06	0.15
1965	0.16	0.08
1966	0.24	0.14
1967	0.26	0.22
1968	0.22	0.24
1969	0.34	0.22
1970	0.29	0.22
1971	0.16	0.28
1972	0.27	0.33
1973	0.41	0.34
1974	0.19	0.34
1975	0.22	0.31
1976	0.11	0.31
1977	0.39	0.35
1978	0.28	0.39
1979	0.35	0.42
1980	0.45	0.45
1981	0.52	0.48
1982	0.31	0.44
1983	0.51	0.31
1984	0.35	0.27
1985	0.31	0.36
1986	0.38	0.42
1987	0.53	0.45
1988	0.58	0.48
1989	0.46	0.52
1990	0.63	0.56
1991	0.61	0.53
1992	0.39	0.35
1993	0.40	0.26
1994	0.50	0.38
1995	0.64	0.49
1996	0.55	0.55
1997	0.66	0.59
1998	0.83	0.63
1999	0.58	0.67
2000	0.60	0.71
2001	0.74	0.74
2002	0.83	0.77
2003	0.82	0.79
2004	0.74	0.80
2005	0.89	0.81
2006	0.81	0.81
2007	0.85	0.80
2008	0.70	0.81
2009	0.84	0.83


"year"	"real RF"	"model RF"
1770	0.24	0.20
1771	0.28	0.26
1772	0.30	0.27
1773	0.29	0.26
1774	0.28	0.25
1775	0.27	0.25
1776	0.28	0.26
1777	0.31	0.29
1778	0.34	0.32
1779	0.35	0.33
1780	0.34	0.32
1781	0.33	0.31
1782	0.29	0.27
1783	0.18	0.16
1784	0.09	0.07
1785	0.16	0.14
1786	0.29	0.27
1787	0.35	0.33
1788	0.36	0.33
1789	0.25	0.22
1790	0.09	0.06
1791	0.11	0.08
1792	0.23	0.20
1793	0.29	0.26
1794	0.29	0.25
1795	0.26	0.22
1796	0.25	0.21
1797	0.26	0.22
1798	0.28	0.24
1799	0.29	0.24
1800	0.30	0.26
1801	0.33	0.28
1802	0.32	0.28
1803	0.31	0.27
1804	0.31	0.26
1805	0.31	0.26
1806	0.30	0.25
1807	0.29	0.24
1808	-0.21	-0.25
1809	-1.35	-1.39
1810	-1.75	-1.80
1811	-0.96	-1.02
1812	-0.28	-0.37
1813	-0.08	-0.19
1814	-0.60	-0.71
1815	-2.06	-2.17
1816	-2.56	-2.67
1817	-1.39	-1.52
1818	-0.27	-0.42
1819	0.19	0.01
1820	0.31	0.14
1821	0.32	0.16
1822	0.32	0.17
1823	0.33	0.19
1824	0.33	0.21
1825	0.35	0.23
1826	0.37	0.26
1827	0.39	0.28
1828	0.40	0.30
1829	0.37	0.28
1830	0.15	0.06
1831	-0.24	-0.33
1832	-0.35	-0.43
1833	-0.06	-0.14
1834	-0.22	-0.30
1835	-0.82	-0.90
1836	-0.74	-0.82
1837	-0.12	-0.21
1838	0.25	0.15
1839	0.36	0.27
1840	0.34	0.25
1841	0.32	0.23
1842	0.32	0.24
1843	0.29	0.22
1844	0.29	0.22
1845	0.34	0.27
1846	0.39	0.32
1847	0.43	0.36
1848	0.46	0.39
1849	0.44	0.38
1850	0.41	0.34
1851	0.40	0.33
1852	0.40	0.34
1853	0.39	0.33
1854	0.38	0.32
1855	0.24	0.18
1856	-0.21	-0.28
1857	-0.44	-0.51
1858	-0.10	-0.17
1859	0.26	0.18
1860	0.39	0.29
1861	0.36	0.26
1862	0.26	0.16
1863	0.26	0.17
1864	0.34	0.24
1865	0.37	0.28
1866	0.38	0.28
1867	0.38	0.28
1868	0.40	0.31
1869	0.44	0.34
1870	0.47	0.37
1871	0.47	0.37
1872	0.42	0.32
1873	0.37	0.26
1874	0.35	0.24
1875	0.33	0.22
1876	0.29	0.17
1877	0.29	0.17
1878	0.33	0.21
1879	0.37	0.23
1880	0.40	0.25
1881	0.43	0.28
1882	0.34	0.18
1883	-0.56	-0.73
1884	-1.30	-1.47
1885	-0.72	-0.90
1886	-0.24	-0.44
1887	-0.12	-0.34
1888	-0.02	-0.25
1889	-0.08	-0.33
1890	-0.12	-0.37
1891	-0.03	-0.27
1892	0.17	-0.08
1893	0.34	0.09
1894	0.46	0.21
1895	0.43	0.19
1896	0.26	0.02
1897	0.16	-0.07
1898	0.26	0.03
1899	0.37	0.13
1900	0.41	0.18
1901	0.40	0.16
1902	-0.04	-0.28
1903	-0.40	-0.65
1904	-0.08	-0.33
1905	0.29	0.02
1906	0.39	0.11
1907	0.37	0.09
1908	0.39	0.11
1909	0.45	0.18
1910	0.47	0.20
1911	0.48	0.20
1912	0.24	-0.04
1913	0.14	-0.13
1914	0.39	0.11
1915	0.54	0.27
1916	0.62	0.34
1917	0.66	0.37
1918	0.66	0.38
1919	0.64	0.37
1920	0.54	0.27
1921	0.51	0.25
1922	0.60	0.33
1923	0.62	0.35
1924	0.62	0.35
1925	0.66	0.38
1926	0.70	0.42
1927	0.72	0.44
1928	0.67	0.39
1929	0.62	0.34
1930	0.65	0.37
1931	0.68	0.40
1932	0.65	0.36
1933	0.66	0.37
1934	0.72	0.43
1935	0.77	0.48
1936	0.83	0.54
1937	0.85	0.56
1938	0.83	0.55
1939	0.84	0.57
1940	0.85	0.58
1941	0.84	0.58
1942	0.80	0.54
1943	0.77	0.53
1944	0.80	0.56
1945	0.84	0.60
1946	0.87	0.64
1947	0.89	0.66
1948	0.90	0.67
1949	0.88	0.65
1950	0.84	0.62
1951	0.80	0.58
1952	0.77	0.54
1953	0.75	0.52
1954	0.75	0.53
1955	0.82	0.58
1956	0.90	0.66
1957	0.97	0.73
1958	0.98	0.74
1959	0.97	0.73
1960	0.88	0.64
1961	0.75	0.51
1962	0.65	0.39
1963	0.16	-0.09
1964	-0.19	-0.44
1965	0.16	-0.10
1966	0.59	0.31
1967	0.77	0.47
1968	0.61	0.31
1969	0.58	0.27
1970	0.85	0.54
1971	1.04	0.73
1972	1.10	0.78
1973	1.06	0.74
1974	0.92	0.59
1975	0.82	0.50
1976	0.98	0.65
1977	1.20	0.86
1978	1.28	0.93
1979	1.36	1.00
1980	1.47	1.10
1981	1.41	1.03
1982	0.71	0.34
1983	0.41	0.03
1984	0.95	0.57
1985	1.25	0.85
1986	1.34	0.93
1987	1.44	1.02
1988	1.58	1.15
1989	1.70	1.27
1990	1.75	1.32
1991	0.81	0.39
1992	0.18	-0.22
1993	0.90	0.50
1994	1.44	1.03
1995	1.64	1.22
1996	1.74	1.32
1997	1.82	1.40
1998	1.92	1.50
1999	2.03	1.60
2000	2.10	1.67
2001	2.13	1.70
2002	2.15	1.72
2003	2.14	1.71
2004	2.13	1.70
2005	2.08	1.66
2006	1.99	1.57
2007	1.95	1.54
2008	1.99	1.58
2009	2.08	1.67
